Word;Negative;Positive;Uncertainty;Litigious;Strong_Modal;Weak_Modal;Constraining;Complexity;Syllables
ACQUITTING;1;0;0;1;0;0;0;0;3
ADDENDUMS;0;0;0;1;0;0;0;0;3
ADEQUATELY;0;1;0;0;0;0;0;0;4
ADJOURN;0;0;0;1;0;0;0;0;2
ADJOURNED;0;0;0;1;0;0;0;0;2
ADJOURNING;0;0;0;1;0;0;0;0;3
ADJOURNMENT;0;0;0;1;0;0;0;0;3
ADJOURNMENTS;0;0;0;1;0;0;0;0;3
ADJOURNS;0;0;0;1;0;0;0;0;2
ADJUDGE;0;0;0;1;0;0;0;0;2
ADJUDGED;0;0;0;1;0;0;0;0;2
ADJUDGES;0;0;0;1;0;0;0;0;3
ADJUDGING;0;0;0;1;0;0;0;0;3
ADJUDICATE;0;0;0;1;0;0;0;0;4
ADJUDICATED;0;0;0;1;0;0;0;0;5
ADJUDICATES;0;0;0;1;0;0;0;0;4
ADJUDICATING;0;0;0;1;0;0;0;0;5
ADJUDICATION;0;0;0;1;0;0;0;0;5
ADJUDICATIONS;0;0;0;1;0;0;0;0;5
ADJUDICATIVE;0;0;0;1;0;0;0;0;5
ADJUDICATOR;0;0;0;1;0;0;0;0;5
ADJUDICATORS;0;0;0;1;0;0;0;0;5
ADJUDICATORY;0;0;0;1;0;0;0;0;6
ADMISSIBILITY;0;0;0;1;0;0;0;0;6
ADMISSIBLE;0;0;0;1;0;0;0;0;4
ADMISSIBLY;0;0;0;1;0;0;0;0;4
ADMISSION;0;0;0;1;0;0;0;0;3
ADMISSIONS;0;0;0;1;0;0;0;0;3
ADULTERATE;1;0;0;0;0;0;0;0;4
ADULTERATED;1;0;0;0;0;0;0;0;5
ADULTERATING;1;0;0;0;0;0;0;0;5
ADULTERATION;1;0;0;0;0;0;0;0;5
ADULTERATIONS;1;0;0;0;0;0;0;0;5
ADVANCEMENT;0;1;0;0;0;0;0;0;3
ADVANCEMENTS;0;1;0;0;0;0;0;0;3
ADVANCES;0;1;0;0;0;0;0;0;3
ADVANCING;0;1;0;0;0;0;0;0;3
ADVANTAGE;0;1;0;0;0;0;0;0;3
ADVANTAGED;0;1;0;0;0;0;0;0;3
ADVANTAGEOUS;0;1;0;0;0;0;0;0;4
ADVANTAGEOUSLY;0;1;0;0;0;0;0;0;5
ADVANTAGES;0;1;0;0;0;0;0;0;4
ADVERSARIAL;1;0;0;0;0;0;0;0;5
ADVERSARIES;1;0;0;0;0;0;0;0;4
ADVERSARY;1;0;0;0;0;0;0;0;4
ADVERSE;1;0;0;0;0;0;0;0;2
ADVERSELY;1;0;0;0;0;0;0;0;3
ADVERSITIES;1;0;0;0;0;0;0;0;5
ADVERSITY;1;0;0;0;0;0;0;0;4
AFFIDAVIT;0;0;0;1;0;0;0;0;4
AFFIDAVITS;0;0;0;1;0;0;0;0;4
AFFILIATES;0;0;0;0;0;0;0;1;4
AFFIRMANCE;0;0;0;1;0;0;0;0;3
AFFREIGHTMENT;0;0;0;1;0;0;0;0;3
AFOREDESCRIBED;0;0;0;1;0;0;0;0;5
AFOREMENTIONED;0;0;0;1;0;0;0;0;4
AFORESAID;0;0;0;1;0;0;0;0;3
AFORESTATED;0;0;0;1;0;0;0;0;4
AFTERMATH;1;0;0;0;0;0;0;0;3
AFTERMATHS;1;0;0;0;0;0;0;0;3
AGAINST;1;0;0;0;0;0;0;0;2
AGGRAVATE;1;0;0;0;0;0;0;0;3
AGGRAVATED;1;0;0;0;0;0;0;0;4
AGGRAVATES;1;0;0;0;0;0;0;0;3
AGGRAVATING;1;0;0;0;0;0;0;0;4
AGGRAVATION;1;0;0;0;0;0;0;0;4
AGGRAVATIONS;1;0;0;0;0;0;0;0;4
AGGRIEVED;0;0;0;1;0;0;0;0;2
ALERTED;1;0;0;0;0;0;0;0;3
ALERTING;1;0;0;0;0;0;0;0;3
ALIENATE;1;0;0;0;0;0;0;0;3
ALIENATED;1;0;0;0;0;0;0;0;5
ALIENATES;1;0;0;0;0;0;0;0;4
ALIENATING;1;0;0;0;0;0;0;0;5
ALIENATION;1;0;0;0;0;0;0;0;4
ALIENATIONS;1;0;0;0;0;0;0;0;5
ALLEGATION;1;0;0;1;0;0;0;0;4
ALLEGATIONS;1;0;0;1;0;0;0;0;4
ALLEGE;1;0;0;1;0;0;0;0;2
ALLEGED;1;0;0;1;0;0;0;0;2
ALLEGEDLY;1;0;0;1;0;0;0;0;4
ALLEGES;1;0;0;1;0;0;0;0;3
ALLEGING;1;0;0;1;0;0;0;0;3
ALLIANCE;0;1;0;0;0;0;0;0;3
ALLIANCES;0;1;0;0;0;0;0;0;4
ALMOST;0;0;1;0;0;1;0;0;2
ALTERATION;0;0;1;0;0;0;0;0;4
ALTERATIONS;0;0;1;0;0;0;0;0;4
ALWAYS;0;0;0;0;1;0;0;0;2
AMBIGUITIES;0;0;1;0;0;0;0;0;5
AMBIGUITY;0;0;1;0;0;0;0;0;5
AMBIGUOUS;0;0;1;0;0;0;0;0;4
AMEND;0;0;0;1;0;0;0;0;2
AMENDABLE;0;0;0;1;0;0;0;0;4
AMENDATORY;0;0;0;1;0;0;0;0;5
AMENDED;0;0;0;1;0;0;0;0;3
AMENDING;0;0;0;1;0;0;0;0;3
AMENDMENT;0;0;0;1;0;0;0;0;3
AMENDMENTS;0;0;0;1;0;0;0;0;3
AMENDS;0;0;0;1;0;0;0;0;2
ANNOY;1;0;0;0;0;0;0;0;2
ANNOYANCE;1;0;0;0;0;0;0;0;3
ANNOYANCES;1;0;0;0;0;0;0;0;4
ANNOYED;1;0;0;0;0;0;0;0;2
ANNOYING;1;0;0;0;0;0;0;0;3
ANNOYS;1;0;0;0;0;0;0;0;2
ANNUL;1;0;0;0;0;0;0;0;2
ANNULLED;1;0;0;0;0;0;0;0;2
ANNULLING;1;0;0;0;0;0;0;0;3
ANNULMENT;1;0;0;0;0;0;0;0;3
ANNULMENTS;1;0;0;0;0;0;0;0;3
ANNULS;1;0;0;0;0;0;0;0;2
ANOMALIES;1;0;1;0;0;0;0;0;4
ANOMALOUS;1;0;1;0;0;0;0;0;4
ANOMALOUSLY;1;0;1;0;0;0;0;0;5
ANOMALY;1;0;1;0;0;0;0;0;4
ANTECEDENT;0;0;0;1;0;0;0;0;4
ANTECEDENTS;0;0;0;1;0;0;0;0;4
ANTICIPATE;0;0;1;0;0;0;0;0;4
ANTICIPATED;0;0;1;0;0;0;0;0;5
ANTICIPATES;0;0;1;0;0;0;0;0;4
ANTICIPATING;0;0;1;0;0;0;0;0;5
ANTICIPATION;0;0;1;0;0;0;0;0;5
ANTICIPATIONS;0;0;1;0;0;0;0;0;5
ANTICOMPETITIVE;1;0;0;0;0;0;0;0;6
ANTICORRUPTION;0;0;0;1;0;0;0;0;0
ANTITRUST;1;0;0;1;0;0;0;0;3
ANYWISE;0;0;0;1;0;0;0;0;3
APPARENT;0;0;1;0;0;0;0;0;3
APPARENTLY;0;0;1;0;0;1;0;0;4
APPEAL;0;0;0;1;0;0;0;0;2
APPEALABLE;0;0;0;1;0;0;0;0;4
APPEALED;0;0;0;1;0;0;0;0;2
APPEALING;0;0;0;1;0;0;0;0;3
APPEALS;0;0;0;1;0;0;0;0;2
APPEAR;0;0;1;0;0;0;0;0;2
APPEARED;0;0;1;0;0;1;0;0;2
APPEARING;0;0;1;0;0;1;0;0;3
APPEARS;0;0;1;0;0;1;0;0;2
APPELLANT;0;0;0;1;0;0;0;0;3
APPELLANTS;0;0;0;1;0;0;0;0;3
APPELLATE;0;0;0;1;0;0;0;0;3
APPELLEES;0;0;0;1;0;0;0;0;3
APPOINTOR;0;0;0;1;0;0;0;0;3
APPROXIMATE;0;0;1;0;0;0;0;0;4
APPROXIMATED;0;0;1;0;0;0;0;0;5
APPROXIMATELY;0;0;1;0;0;0;0;0;5
APPROXIMATES;0;0;1;0;0;0;0;0;4
APPROXIMATING;0;0;1;0;0;0;0;0;5
APPROXIMATION;0;0;1;0;0;0;0;0;5
APPROXIMATIONS;0;0;1;0;0;0;0;0;5
APPURTENANCE;0;0;0;1;0;0;0;0;4
APPURTENANCES;0;0;0;1;0;0;0;0;5
APPURTENANT;0;0;0;1;0;0;0;0;4
ARBITRABILITY;0;0;0;1;0;0;0;0;6
ARBITRAL;0;0;0;1;0;0;0;0;3
ARBITRARILY;0;0;1;0;0;0;0;0;5
ARBITRARINESS;0;0;1;0;0;0;0;0;5
ARBITRARY;0;0;1;0;0;0;0;0;4
ARBITRATE;0;0;0;1;0;0;0;0;3
ARBITRATED;0;0;0;1;0;0;0;0;4
ARBITRATES;0;0;0;1;0;0;0;0;3
ARBITRATING;0;0;0;1;0;0;0;0;4
ARBITRATION;0;0;0;1;0;0;0;0;4
ARBITRATIONAL;0;0;0;1;0;0;0;0;5
ARBITRATIONS;0;0;0;1;0;0;0;0;4
ARBITRATIVE;0;0;0;1;0;0;0;0;4
ARBITRATOR;0;0;0;1;0;0;0;0;4
ARBITRATORS;0;0;0;1;0;0;0;0;4
ARGUE;1;0;0;0;0;0;0;0;2
ARGUED;1;0;0;0;0;0;0;0;2
ARGUING;1;0;0;0;0;0;0;0;3
ARGUMENT;1;0;0;0;0;0;0;0;3
ARGUMENTATIVE;1;0;0;0;0;0;0;0;5
ARGUMENTS;1;0;0;0;0;0;0;0;3
ARREARAGE;1;0;0;1;0;0;0;0;3
ARREARAGES;1;0;0;1;0;0;0;0;4
ARREARS;1;0;0;0;0;0;0;0;2
ARREST;1;0;0;0;0;0;0;0;2
ARRESTED;1;0;0;0;0;0;0;0;3
ARRESTS;1;0;0;0;0;0;0;0;2
ARTIFICIALLY;1;0;0;0;0;0;0;0;5
ASCENDANCY;0;0;0;1;0;0;0;0;4
ASCENDANT;0;0;0;1;0;0;0;0;3
ASCENDANTS;0;0;0;1;0;0;0;0;3
ASSAULT;1;0;0;0;0;0;0;0;2
ASSAULTED;1;0;0;0;0;0;0;0;3
ASSAULTING;1;0;0;0;0;0;0;0;3
ASSAULTS;1;0;0;0;0;0;0;0;2
ASSERTABLE;0;0;0;1;0;0;0;0;4
ASSERTIONS;1;0;0;0;0;0;0;0;3
ASSIGNATION;0;0;0;1;0;0;0;0;4
ASSIGNATIONS;0;0;0;1;0;0;0;0;4
ASSUMABLE;0;0;0;1;0;0;0;0;4
ASSUME;0;0;1;0;0;0;0;0;2
ASSUMED;0;0;1;0;0;0;0;0;2
ASSUMES;0;0;1;0;0;0;0;0;2
ASSUMING;0;0;1;0;0;0;0;0;3
ASSUMPTION;0;0;1;0;0;0;0;0;3
ASSUMPTIONS;0;0;1;0;0;0;0;0;3
ASSURE;0;1;0;0;0;0;0;0;2
ASSURED;0;1;0;0;0;0;0;0;2
ASSURES;0;1;0;0;0;0;0;0;2
ASSURING;0;1;0;0;0;0;0;0;3
ATTAIN;0;1;0;0;0;0;0;0;2
ATTAINED;0;1;0;0;0;0;0;0;2
ATTAINING;0;1;0;0;0;0;0;0;3
ATTAINMENT;0;1;0;0;0;0;0;0;3
ATTAINMENTS;0;1;0;0;0;0;0;0;3
ATTAINS;0;1;0;0;0;0;0;0;2
ATTEST;0;0;0;1;0;0;0;0;2
ATTESTATION;0;0;0;1;0;0;0;0;4
ATTESTATIONS;0;0;0;1;0;0;0;0;4
ATTESTED;0;0;0;1;0;0;0;0;3
ATTESTING;0;0;0;1;0;0;0;0;3
ATTORN;0;0;0;1;0;0;0;0;2
ATTORNEY;0;0;0;1;0;0;0;0;3
ATTORNEYS;0;0;0;1;0;0;0;0;3
ATTORNMENT;0;0;0;1;0;0;0;0;3
ATTORNS;0;0;0;1;0;0;0;0;2
ATTRACTIVE;0;1;0;0;0;0;0;0;3
ATTRACTIVENESS;0;1;0;0;0;0;0;0;4
ATTRITION;1;0;0;0;0;0;0;0;3
AVERSELY;1;0;0;0;0;0;0;0;3
BACKDATING;1;0;0;0;0;0;0;0;3
BAD;1;0;0;0;0;0;0;0;1
BAIL;1;0;0;1;0;0;0;0;1
BAILED;0;0;0;1;0;0;0;0;1
BAILEE;0;0;0;1;0;0;0;0;2
BAILEES;0;0;0;1;0;0;0;0;2
BAILIFF;0;0;0;1;0;0;0;0;2
BAILIFFS;0;0;0;1;0;0;0;0;2
BAILMENT;0;0;0;1;0;0;0;0;2
BAILOUT;1;0;0;0;0;0;0;0;2
BALK;1;0;0;0;0;0;0;0;1
BALKED;1;0;0;0;0;0;0;0;1
BANKRUPT;1;0;0;0;0;0;0;0;2
BANKRUPTCIES;1;0;0;0;0;0;0;1;3
BANKRUPTCY;1;0;0;0;0;0;0;0;3
BANKRUPTED;1;0;0;0;0;0;0;0;3
BANKRUPTING;1;0;0;0;0;0;0;0;3
BANKRUPTS;1;0;0;0;0;0;0;0;2
BANS;1;0;0;0;0;0;0;0;1
BARRED;1;0;0;0;0;0;0;0;1
BARRIER;1;0;0;0;0;0;0;0;3
BARRIERS;1;0;0;0;0;0;0;0;3
BEAUTIFUL;0;1;0;0;0;0;0;0;3
BEAUTIFULLY;0;1;0;0;0;0;0;0;4
BELIEVE;0;0;1;0;0;0;0;0;2
BELIEVED;0;0;1;0;0;0;0;0;2
BELIEVES;0;0;1;0;0;0;0;0;2
BELIEVING;0;0;1;0;0;0;0;0;3
BENEFICIAL;0;-1;0;1;0;0;0;0;4
BENEFICIALLY;0;1;0;0;0;0;0;0;5
BENEFICIATED;0;0;0;1;0;0;0;0;0
BENEFICIATION;0;0;0;1;0;0;0;0;6
BENEFIT;0;-1;0;0;0;0;0;0;3
BENEFITED;0;1;0;0;0;0;0;0;4
BENEFITING;0;1;0;0;0;0;0;0;4
BENEFITTED;0;1;0;0;0;0;0;0;4
BENEFITTING;0;1;0;0;0;0;0;0;4
BEST;0;1;0;0;1;0;0;0;1
BETTER;0;1;0;0;0;0;0;0;2
BOLSTERED;0;1;0;0;0;0;0;0;2
BOLSTERING;0;1;0;0;0;0;0;0;3
BOLSTERS;0;1;0;0;0;0;0;0;2
BONA;0;0;0;1;0;0;0;0;2
BONAFIDE;0;0;0;1;0;0;0;0;2
BOOM;0;1;0;0;0;0;0;0;1
BOOMING;0;1;0;0;0;0;0;0;2
BOOST;0;1;0;0;0;0;0;0;1
BOOSTED;0;1;0;0;0;0;0;0;2
BOTTLENECK;1;0;0;0;0;0;0;0;3
BOTTLENECKS;1;0;0;0;0;0;0;0;3
BOUND;0;0;0;0;0;0;1;0;1
BOUNDED;0;0;0;0;0;0;1;0;2
BOYCOTT;1;0;0;0;0;0;0;0;2
BOYCOTTED;1;0;0;0;0;0;0;0;3
BOYCOTTING;1;0;0;0;0;0;0;0;3
BOYCOTTS;1;0;0;0;0;0;0;0;2
BREACH;1;0;0;1;0;0;0;0;1
BREACHED;1;0;0;1;0;0;0;0;1
BREACHES;1;0;0;1;0;0;0;0;2
BREACHING;1;0;0;1;0;0;0;0;2
BREAK;1;0;0;0;0;0;0;0;1
BREAKAGE;1;0;0;0;0;0;0;0;2
BREAKAGES;1;0;0;0;0;0;0;0;3
BREAKDOWN;1;0;0;0;0;0;0;0;2
BREAKDOWNS;1;0;0;0;0;0;0;0;2
BREAKING;-1;0;0;0;0;0;0;0;2
BREAKS;1;0;0;0;0;0;0;0;1
BREAKTHROUGH;0;1;0;0;0;0;0;0;2
BREAKTHROUGHS;0;1;0;0;0;0;0;0;2
BRIBE;1;0;0;0;0;0;0;0;1
BRIBED;1;0;0;0;0;0;0;0;1
BRIBERIES;1;0;0;0;0;0;0;0;3
BRIBERY;1;0;0;0;0;0;0;0;3
BRIBES;1;0;0;0;0;0;0;0;1
BRIBING;1;0;0;0;0;0;0;0;2
BRIDGE;-1;0;0;0;0;0;0;0;1
BRILLIANT;0;1;0;0;0;0;0;0;2
BROKEN;-1;0;0;0;0;0;0;0;2
BURDEN;1;0;0;0;0;0;0;0;2
BURDENED;1;0;0;0;0;0;0;0;2
BURDENING;1;0;0;0;0;0;0;0;3
BURDENS;1;0;0;0;0;0;0;0;2
BURDENSOME;1;0;0;0;0;0;0;0;3
BURNED;1;0;0;0;0;0;0;0;1
CALAMITIES;1;0;0;0;0;0;0;0;4
CALAMITOUS;1;0;0;0;0;0;0;0;4
CALAMITY;1;0;0;0;0;0;0;0;4
CANCEL;1;0;0;0;0;0;0;0;2
CANCELED;1;0;0;0;0;0;0;0;2
CANCELING;1;0;0;0;0;0;0;0;3
CANCELLATION;1;0;0;0;0;0;0;0;4
CANCELLATIONS;1;0;0;0;0;0;0;0;4
CANCELLED;1;0;0;0;0;0;0;0;2
CANCELLING;1;0;0;0;0;0;0;0;3
CANCELS;1;0;0;0;0;0;0;0;2
CARELESS;1;0;0;0;0;0;0;0;2
CARELESSLY;1;0;0;0;0;0;0;0;3
CARELESSNESS;1;0;0;0;0;0;0;0;3
CARRYBACK;0;0;0;0;0;0;0;1;3
CARRYFORWARD;0;0;0;0;0;0;0;1;4
CARRYFORWARDS;0;0;0;0;0;0;0;1;4
CATASTROPHE;1;0;0;0;0;0;0;0;4
CATASTROPHES;1;0;0;0;0;0;0;0;4
CATASTROPHIC;1;0;0;0;0;0;0;0;4
CATASTROPHICALLY;1;0;0;0;0;0;0;0;6
CAUTION;1;0;0;0;0;0;0;0;2
CAUTIONARY;1;0;0;0;0;0;0;0;4
CAUTIONED;1;0;0;0;0;0;0;0;2
CAUTIONING;1;0;0;0;0;0;0;0;3
CAUTIONS;1;0;0;0;0;0;0;0;2
CAUTIOUS;0;0;1;0;0;0;0;0;2
CAUTIOUSLY;0;0;1;0;0;0;0;0;3
CAUTIOUSNESS;0;0;1;0;0;0;0;0;3
CEASE;1;0;0;0;0;0;0;0;1
CEASED;1;0;0;0;0;0;0;0;1
CEASES;1;0;0;0;0;0;0;0;2
CEASING;1;0;0;0;0;0;0;0;2
CEDANT;0;0;0;1;0;0;0;0;2
CEDANTS;0;0;0;1;0;0;0;0;2
CENSURE;1;0;0;0;0;0;0;0;2
CENSURED;1;0;0;0;0;0;0;0;2
CENSURES;1;0;0;0;0;0;0;0;3
CENSURING;1;0;0;0;0;0;0;0;3
CERTIORARI;0;0;0;1;0;0;0;0;5
CESSION;0;0;0;1;0;0;0;0;2
CHALLENGE;1;0;0;0;0;0;0;0;2
CHALLENGED;1;0;0;0;0;0;0;0;2
CHALLENGES;1;0;0;0;0;0;0;0;3
CHALLENGING;1;0;0;0;0;0;0;0;3
CHARGEOFFS;1;0;0;0;0;0;0;0;2
CHARITABLE;0;1;0;0;0;0;0;0;4
CHATTEL;0;0;0;1;0;0;0;0;2
CHATTELS;0;0;0;1;0;0;0;0;2
CHOATE;0;0;0;1;0;0;0;0;2
CIRCUMVENT;1;0;0;0;0;0;0;0;3
CIRCUMVENTED;1;0;0;0;0;0;0;0;4
CIRCUMVENTING;1;0;0;0;0;0;0;0;4
CIRCUMVENTION;1;0;0;0;0;0;0;0;4
CIRCUMVENTIONS;1;0;0;0;0;0;0;0;4
CIRCUMVENTS;1;0;0;0;0;0;0;0;3
CLAIM;0;0;0;1;0;0;0;0;1
CLAIMABLE;0;0;0;1;0;0;0;0;3
CLAIMANT;0;0;0;1;0;0;0;0;2
CLAIMANTS;0;0;0;1;0;0;0;0;2
CLAIMHOLDER;0;0;0;1;0;0;0;0;0
CLAIMING;1;0;0;0;0;0;0;0;2
CLAIMS;1;0;0;1;0;0;0;0;1
CLARIFICATION;0;0;1;0;0;0;0;0;5
CLARIFICATIONS;0;0;1;0;0;0;0;0;5
CLAWBACK;1;0;0;0;0;0;0;0;2
CLAWBACKS;0;0;0;1;0;0;0;0;0
CLEARLY;0;0;0;0;1;0;0;0;2
CLOSED;-1;0;0;0;0;0;0;0;1
CLOSEOUT;1;0;0;0;0;0;0;0;2
CLOSEOUTS;1;0;0;0;0;0;0;0;2
CLOSING;-1;0;0;0;0;0;0;0;2
CLOSINGS;1;0;0;0;0;0;0;0;2
CLOSURE;1;0;0;0;0;0;0;0;2
CLOSURES;1;0;0;0;0;0;0;0;2
CODEFENDANT;0;0;0;1;0;0;0;0;4
CODEFENDANTS;0;0;0;1;0;0;0;0;4
CODICIL;0;0;0;1;0;0;0;0;3
CODICILS;0;0;0;1;0;0;0;0;3
CODIFICATION;0;0;0;1;0;0;0;0;5
CODIFICATIONS;0;0;0;1;0;0;0;0;5
CODIFIED;0;0;0;1;0;0;0;0;3
CODIFIES;0;0;0;1;0;0;0;0;3
CODIFY;0;0;0;1;0;0;0;0;3
CODIFYING;0;0;0;1;0;0;0;0;4
COERCE;1;0;0;0;0;0;0;0;2
COERCED;1;0;0;0;0;0;0;0;2
COERCES;1;0;0;0;0;0;0;0;3
COERCING;1;0;0;0;0;0;0;0;3
COERCION;1;0;0;0;0;0;0;0;3
COERCIVE;1;0;0;0;0;0;0;0;3
COLLABORATE;0;1;0;0;0;0;0;0;4
COLLABORATED;0;1;0;0;0;0;0;0;5
COLLABORATES;0;1;0;0;0;0;0;0;4
COLLABORATING;0;1;0;0;0;0;0;0;5
COLLABORATION;0;1;0;0;0;0;0;0;5
COLLABORATIONS;0;1;0;0;0;0;0;0;5
COLLABORATIVE;0;1;0;0;0;0;0;0;5
COLLABORATOR;0;1;0;0;0;0;0;0;5
COLLABORATORS;0;1;0;0;0;0;0;0;5
COLLAPSE;1;0;0;0;0;0;0;0;2
COLLAPSED;1;0;0;0;0;0;0;0;2
COLLAPSES;1;0;0;0;0;0;0;0;3
COLLAPSING;1;0;0;0;0;0;0;0;3
COLLATERAL;0;0;0;0;0;0;0;1;4
COLLATERALIZATION;0;0;0;0;0;0;0;1;7
COLLISION;1;0;0;0;0;0;0;0;3
COLLISIONS;1;0;0;0;0;0;0;0;3
COLLUDE;1;0;0;0;0;0;0;0;2
COLLUDED;1;0;0;0;0;0;0;0;3
COLLUDES;1;0;0;0;0;0;0;0;2
COLLUDING;1;0;0;0;0;0;0;0;3
COLLUSION;1;0;0;1;0;0;0;0;3
COLLUSIONS;1;0;0;0;0;0;0;0;3
COLLUSIVE;1;0;0;0;0;0;0;0;3
COMMIT;0;0;0;0;0;0;1;0;2
COMMITMENT;0;0;0;0;0;0;1;0;3
COMMITMENTS;0;0;0;0;0;0;1;0;3
COMMITS;0;0;0;0;0;0;1;0;2
COMMITTED;0;0;0;0;0;0;1;0;3
COMMITTING;0;0;0;0;0;0;1;0;3
COMPEL;0;0;0;0;0;0;1;0;2
COMPELLED;0;0;0;0;0;0;1;0;2
COMPELLING;0;0;0;0;0;0;1;0;3
COMPELS;0;0;0;0;0;0;1;0;2
COMPENSATORY;0;0;0;1;0;0;0;0;5
COMPLAIN;1;0;0;0;0;0;0;0;2
COMPLAINANT;0;0;0;1;0;0;0;0;3
COMPLAINANTS;0;0;0;1;0;0;0;0;3
COMPLAINED;1;0;0;0;0;0;0;0;2
COMPLAINING;1;0;0;0;0;0;0;0;3
